name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
gAnavaridhi,,35,,,"S,M1,R3,G3,M1,P,D2,N2,Ṡ","Ṡ,D2,N2,P,M1,R3,S",
gAndhAralola,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,M1,G3,R2,S",
gAndharva,,42,,,"M2,P,D3,N3,S,R1,G1","R1,S,N3,P,M2,P",
gangAtarangini,,33,,,"S,R3,G3,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,M1,G3,M1,R3,S",
gAngEyabhUshaNi,33,NULL,Rutu,,"S,R3,G3,M1,P,D2,N3,S","S,N3,D2,P,M1,G3,R3,S",
gAra {Hindustani},,22,,,"S,G2,M1,P,D2,N3,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,G2,R2,S,N3,S,N2,D2,S","G3,D1,N3"
garigadya,,56,,,"N2,S,G2,M2,P,D1,N2","D1,P,M2,G2,R2,S",
garuDadhvani,,29,,,"S,R2,G3,M1,P,D2,N3,Ṡ","Ṡ,D2,P,G3,R2,S",
gaudamalhAr,,29,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N3,M1,G3,R2,S",
gauLa kannaDa,,22,,,"S,R2,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,P,M1,G2,S",
gauLa,,15,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,P,M1,R1,G3,M1,R1,S",
gaulipantu,,15,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,D1,P,M1,D1,M1,G3,R1,S",
gauri,,15,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
gaurikriya,,59,,,"S,G2,M2,P,D2,N3,Ṡ","Ṡ,N3,D2,N3,P,M2,G2,S",
gaurimanOhari,23,NULL,Veda,,"S,R2,G2,M1,P,D2,N3,S","S,N3,D2,P,M1,G2,R2,S",
gaurishankar,,23,,,"S,R2,G2,M1,P,N3,Ṡ","Ṡ,N3,D2,P,M1,G2,R2,S",
gaurivelAvali,,23,,,"S,R2,G1,G2,S,R2,M1,M1,P,D2,D2,Ṡ","S,N3,D2,P,M1,G1,G2,R2,S",
gaurivelAvali,,23,,,"S,R2,G2,S,R2,M1,P,D2,S","Ṡ,N3,D2,P,M1,G2,R2,S",
gavambOdhi,43,NULL,Vasu,,"S,R1,G2,M2,P,D2,N2,S","S,N2,D2,P,M2,G2,R1,S",
gAvati {Hindustani},,28,,,"S,M1,P,N2,Ṡ","Ṡ,D2,M1,P,G3,M1,R2,N2,S",
gayakamandini,,25,,,"S,R2,G3,M1,P,D1,S","S,D1,P,M1,G3,R2,S",
gAyakapriya,13,NULL,Agni,,"S,R1,G3,M1,P,D1,N1,S","S,N1,D1,P,M1,G3,R1,S",
geya hejjajji,,13,,,"S,R1,M1,G3,M1,P,D1,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
ghanashyAmalA,,5,,,"S,G1,M1,P,D2,Ṡ","Ṡ,D2,N3,P,M1,G1,R1,S",
ghanasindhu,,15,,,"S,M1,G3,M1,P,D1,N3,D1,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
ghanta,,8,,,"S,G2,R2,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S","R2,D2"
ghantana,,57,,,"S,R2,G2,M2,D1,N3,Ṡ","Ṡ,N3,D1,M2,G2,R2,S",
ghoshini,,16,,,"S,M1,G3,M1,P,D2,N2,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,R1,S",
gIrvANi,,43,,,"S,R1,G2,M2,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M2,G2,R1,S",
gItapriya,,63,,,"S,R2,G3,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G3,R2,S",
godari,,39,,,"S,R1,G1,R1,M2,G1,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,R1,S",
gomati,,42,,,"S,R1,G1,M2,P,D3,N3","P,M2,G1,R1,S",
gopikathilakam,,56,,,"S,R2,G2,M2,P,N2,Ṡ","Ṡ,N2,P,M2,G2,R2,S",
gopikAvasantam,,20,,,"S,R2,G2,M1,P,D1,P,N2","S,N2,D1,P,M1,G2,R2,S",
gopriya,,62,,,"S,R2,G3,M2,D1,N2,Ṡ","Ṡ,N2,D1,M2,G3,R2,S",
guhamanOhari,,28,,,"S,R2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,R2,S",
guhapriya,,16,,,"S,R1,G3,M1,P,P,M1,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,S,R1,S",
guharanjani,,28,,,"S,R2,S,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G3,S",
gummakAmbhOji,,15,,,"S,R1,G3,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
guNAvati,,10,,,"S,R1,M1,P,D2,S","S,D2,P,M1,R1,S",
gundakriya,,15,,,"S,R1,M1,P,N3,Ṡ","Ṡ,N3,P,D1,P,M1,G3,R1,S",
gurjari,,15,,,"S,R1,G3,M1,P,D1,N3,Ṡ","Ṡ,D1,N3,P,M1,G3,R1,S",
gurupriya,,64,,,"S,R2,G3,M2,D2,N2,Ṡ","Ṡ,N2,D2,M2,G3,R2,S",
hamIr {Hindustani},,65,,,"S,R2,S,G3,M1,D2,N3,D2,Ṡ","Ṡ,N3,D2,N3,P,G3,M1,D2,M2,P,D2,P,G3,M1,R2,S",M1
hamIr kaLyANi,,65,,,"S,P,M2,P,D2,N3,Ṡ","S,N3,D2,P,G3,M1,G3,R2,S","M1,N2"
hamIr kaLyANi,,65,,,"S,R2,S,P,M2,N3,D2,S,N3,Ṡ","S,N3,D2,P,M2,G,M1,R2,S",
hamIr kaLyANi,,65,,,"S,R2,S,P,M2,P,D2,N3,Ṡ","S,N3,D2,P,M2,G3,M1,G3,R2,Ṡ",
hamsa Abheri,,22,,,"S,G2,P,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,S",
hamsabhramari,,57,,,"S,R2,G2,M2,P,D2,Ṡ","Ṡ,N2,D2,P,M2,G2,R2,S",
hamsadhvani,,29,,,"S,R2,G3,P,N3,Ṡ","Ṡ,N3,P,G3,R2,S",
hamsadIpika,,23,,,"S,R2,G2,M1,D2,Ṡ","Ṡ,N3,D2,P,M1,G2,R2,S",
hamsagamini,,52,,,"S,G3,M2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,D2,P,M2,G3,R1,S",
hamsagiri,,72,,,"S,R3,G3,M2,P,D3,N3,Ṡ","Ṡ,N3,P,D3,N3,P,M2,G3,S",
hamsakaLyANi,,65,,,"S,R2,G3,P,N3,Ṡ","Ṡ,N3,D2,P,M2,G3,R2,S",
hamsalatha,,63,,,"S,R2,G3,P,N3,Ṡ","Ṡ,N3,D1,P,M2,G3,R2,S",
hamsanAdam,,60,,,"S,R2,M2,P,D3,N3,Ṡ","S,N3,D3,P,M2,R2,Ṡ",
hamsanAdam,,60,,,"S,R2,M2,P,N3,S","S,N3,P,M2,R2,S",
hamsAnandi,,53,,,"S,R1,G3,M2,D2,N3,Ṡ","Ṡ,N3,D2,M2,G3,R1,S",
hamsanantini,,53,,,"S,G3,M1,P,Ṡ","Ṡ,P,M1,G3,R1,S",
hamsanArAyaNi,,51,,,"S,R1,G3,M2,P,Ṡ","Ṡ,N3,P,M2,G3,R1,S",
hamsapancama,,21,,,"S,G2,M1,P,N3,D1,N3,P,Ṡ","Ṡ,N3,D1,M1,G2,R2,S",
hamsarUpini,,28,,,"S,R2,G3,P,D2,Ṡ","Ṡ,N2,P,M1,R2,S",
hamsavAhini,,21,,,"S,R2,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,R2,S",
hamsavinOdini,,29,,,"S,R2,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,M1,G3,R2,S",
hanumatODi,8,NULL,Netra,,"S,R1,G2,M1,P,D1,N2,S","S,N2,D1,P,M1,G2,R1,S",
haridarpa,,17,,,"S,R1,G3,M1,P,D2,N3,Ṡ","Ṡ,D2,P,M1,R1,S",
haridasapriya,,22,,,"S,P,M1,G3,M1,P,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G2,R2,S",
haridasapriya,,28,,,"S,P,M1,G3,M1,P,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G2,R2,S",
harikAmbhOji,28,NULL,Bana,,"S,R2,G3,M1,P,D3,N3,S","S,N3,D3,P,M1,G3,R2,S",
harikEdAragauLa,,28,,,"S,R2,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
harikEdAram,,28,,,"S,R2,G3,M1,P,D2,N2,S,N2,Ṡ","Ṡ,N2,S,D2,N2,D2,P,M1,G3,R2,S",
harinArAyaNi,,22,,,"S,R2,G2,M1,P,M1,D2,N2,Ṡ","Ṡ,N2,P,M1,G2,R2,S",
hariNi,,28,,,"S,G3,M1,P,D2,N2,D2,Ṡ","Ṡ,N2,S,N2,D2,P,M1,G3,M1,G2,R2,S",
haripriya,,27,,,"S,R1,G3,M1,P,Ṡ","Ṡ,N3,D1,P,M1,G3,S",
haritapriya,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,G3,R2,S",
hAtakAmbari,18,NULL,Agni,,"S,R1,G3,M1,P,D3,N3,S","S,N3,D3,P,M1,G3,R1,S",
hejjajji,,13,,,"S,R1,G3,M1,P,D1,Ṡ","Ṡ,N1,D1,P,M1,G3,R1,S",
hemAmbari,,57,,,"S,R2,G2,M2,P,D2,N2,Ṡ","Ṡ,P,M2,G2,R2,S",
hemAngi,,54,,,"S,R1,G3,M2,D3,Ṡ","Ṡ,D3,M2,G3,R1,S",
hemant {Hindustani},,29,,,"N3,S,D2,N3,S,G3,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",
hemapriya,,57,,,"S,R2,G2,M2,D2,Ṡ","Ṡ,D2,M2,G2,R2,S",
hemasAranga,,28,,,"S,R2,G3,M1,P,D2,N2,D2,Ṡ","Ṡ,P,M1,G3,R2,S",
hEmavati,58,NULL,Disi,,"S,R2,G2,M2,P,D2,N2,S","S,N2,D2,P,M2,G2,R2,S",
hindoLadarbAr,,32,,,"S,G3,M1,P,Ṡ","Ṡ,N2,D1,P,M1,R3,S",
hindoLadeSikam,,10,,,"S,M1,R1,G2,M1,P,D2,N2,Ṡ","Ṡ,P,N2,D2,M1,G2,R1,S",
hindoLam,,20,,,"S,G2,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,G2,S",
hindoLavasanta,,20,,,"S,G2,M1,P,D1,N2,D1,Ṡ","Ṡ,N2,D1,P,M1,D2,M1,G2,S",
hindustAni KApi,,22,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G2,M1,D2,P,G2,R2,S,N2,S","G3,D1,N3"
hindustAni tODi,,45,,,"N3,R1,G2,M2,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G2,R1,S",
hrdhini,,64,,,"S,G3,M2,P,N2,Ṡ","Ṡ,N2,P,M2,G3,S",
hrudkamali,,23,,,"S,R2,M1,D2,N3,Ṡ","Ṡ,N3,D2,M1,R2,S",
husEni,,22,,,"S,R2,G2,M1,P,N2,D2,N2,S","Ṡ,N2,D1,P,M1,G2,R2,S",D1
husEni,,22,,,"S,R2,G3,M1,P,N3,D2,M1,P,N3,Ṡ","S,N3,S,P,D2,M1,P,G3,R2,S",
indudhanyAsi,,46,,,"S,G2,M2,D2,N2,Ṡ","Ṡ,N2,D2,P,D2,M2,G2,R1,S",
indughantarava,,20,,,"S,G2,M1,P,D1,P","N2,D1,P,M1,G2,R2,S,N2",
indumati,,51,,,"S,G3,M2,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G3,S",
ISaivaridhi,,28,,,"S,R2,M1,D2,N2,Ṡ","Ṡ,N2,P,M1,R2,S",
ISAmanOhari,,28,,,"S,R2,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,R2,M1,G3,R2,S",
ishtArangiNi,,72,,,"S,R3,M2,P,N3,Ṡ","Ṡ,N3,D3,P,M2,G3,R3,S",
jaganmohana,,38,,,"S,R1,G1,M2,P,D2,Ṡ","Ṡ,N2,D1,P,M2,G1,R1,S",
jaganmohinam,,38,,,"S,R1,G1,M2,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M2,G1,R1,S",
jaganmohini,,15,,,"S,G3,M1,P,N3,Ṡ","Ṡ,N3,P,M1,G3,R1,S",
jaijaivanti {Hindustani},,28,,,"S,D2,N2,R2,S,R2,G3,M1,P,M1,G3,M1,G3,R2,M1,P,N3,Ṡ","Ṡ,N2,D2,P,D2,M1,G3,M1,R2,G2,R2,S,N3,S","G2,N3"
jaithsri,,28,,,"S,R2,G3,P,D2,Ṡ","Ṡ,D2,P,G3,R2,S",
jAlakesari,,45,,,"S,R1,M2,P,D1,N3,Ṡ","Ṡ,D1,P,M2,R1,S",
jalarnavam,38,NULL,Rishi,,"S,R1,G1,M2,P,D1,N2,S","S,N2,D1,P,M2,G1,R1,S",
jAlasugandhi,,39,,,"S,R1,G1,M2,P,D1,Ṡ","Ṡ,D1,P,M2,G1,R1,S",
jalmika,,19,,,"S,R2,G1,M1,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M1,G1,S,R2,S",
jana Ranjani,,29,,,"S,R2,G3,M1,P,D2,P,N3,Ṡ","Ṡ,D2,P,M1,R2,S",
jana Sammodhini,,28,,,"S,R2,G3,P,D2,N2,Ṡ","Ṡ,N2,D2,P,G3,R2,S",
janatODi,,8,,,"S,R1,G2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
janAvali,,39,,,"S,G2,R1,G2,M2,P,D1,N3,D1,Ṡ","Ṡ,N3,D1,P,M2,G2,R1,S",
jatAdhAri,,22,,,"S,R2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,R2,S",
jaunpuri {Hindustani},,20,,,"S,R2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G2,R2,S",
jayacUdAmani,,57,,,"S,G2,M2,P,D1,Ṡ","Ṡ,N3,D1,P,M2,G2,R2,S",
jayamanOhari,,22,,,"S,R2,G2,M1,D2,Ṡ","Ṡ,N2,D2,M1,G2,R2,S",
jayanArAyaNi,,22,,,"S,R2,G2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
jayantasEna,,22,,,"S,G2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G2,S",
jayantasrI,,20,,,"S,G2,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,P,M1,G2,S",
jayarAma,,28,,,"S,R2,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,S",
jayasamvardhani,,17,,,"S,G3,M1,P,D2,N3,Ṡ","Ṡ,N3,P,M1,G3,R1,S",
jayasri,,21,,,"S,R2,G2,M1,P,D1,N3,D1,Ṡ","Ṡ,N3,D1,P,M1,G2,R2,S",
jayaSuddhamAlavi,,18,,,"S,R1,G3,M1,P,N3,Ṡ","Ṡ,N3,D3,P,M1,G3,R1,S",
jhalavaraLi,39,NULL,Rishi,,"S,R1,G1,M2,P,D1,N3,S","S,N3,D1,P,M2,G1,R1,S",
jhankAradhvani,19,NULL,Veda,,"S,R2,G2,M1,P,D1,N1,S","S,N1,D1,P,M1,G2,R2,S",
jhinjoTi {Hindustani},,28,,,"D2,S,R2,G3,M1,P,D2,N2","D2,P,M1,G3,R2,S,N2,D2,P,D2,S",
jingaLa,,20,,,"S,R2,G2,M1,P,D1,N2,D1,P,Ṡ","Ṡ,N2,D1,P,M1,G2,R2,S",
jIvanthikA,,48,,,"S,M2,P,D3,N3,Ṡ","Ṡ,N3,P,M2,G2,S",
jIvanthini,,48,,,"S,M2,P,D3,N3,Ṡ","Ṡ,N3,P,M2,G2,S",
jIvantikA,,17,,,"S,R1,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,R1,S",
jnAnacintAmaNi,,11,,,"S,R1,M1,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,R1,S",
jOg {Hindustani},,22,,,"S,G3,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G3,M1,G2,S",G2
jujahuli,,28,,,"S,M1,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,S",
julavu,,29,,,"P,D2,N3,S,R2,G3,M1,P","M1,G3,R2,S,N3,D2,P,M1",
jyoti,,68,,,"S,R3,G3,M2,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M2,G3,S",
jyotiSmati,,68,,,"S,R3,G3,M2,P,Ṡ","Ṡ,N2,D1,M2,P,M2,G3,R3,S",
jyotisvarUpini,68,NULL,Aditya,,"S,R3,G3,M2,P,D1,N2,S","S,N2,D1,P,M2,G3,R3,S",
kadanakutUhalam,,29,,,"S,R2,M1,D2,N3,G3,P,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",
kadaram,,21,,candrakauns,"S,G2,M1,D1,N3,Ṡ","Ṡ,N3,D1,M1,G2,S",
kaikavashi,,60,,,"S,R2,G2,M2,P,D3,N3,Ṡ","Ṡ,N3,P,M2,G2,R2,S",
kalAhamsa,,31,,,"S,R3,G3,M1,P,D1,Ṡ","Ṡ,N1,D1,P,M1,G3,R3,S",
kalAkAnti,,13,,,"S,R1,G3,M1,D1,N1,Ṡ","Ṡ,N1,D1,P,G3,R1,S",
kalAnidhi,,22,,,"S,R2,G2,M1,S,P,M1,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
kalAsAveri,,8,,,"S,R1,G2,P,N2,Ṡ","Ṡ,N2,P,G2,R1,S",
kaLAvati,,16,,,"S,R1,M1,P,D2,Ṡ","Ṡ,D2,P,M1,G3,S,R1,S",
kaLAvati,,31,,,"S,R3,G3,M1,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M1,G3,R3,S",
kalika,,22,,,"S,R2,G2,P,D2,N2,Ṡ","Ṡ,N2,D2,P,G2,R2,S",
kalindaja,,14,,,"S,R1,G3,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G3,R1,S",
kalkada,,13,,,"S,R1,G3,P,D1,N1,S","Ṡ,N1,D1,P,G3,R1,S",
kalkada,,13,,,"S,R1,G3,P,D1,Ṡ","Ṡ,N1,D1,P,G3,R1,S",
kallola,,18,,,"S,P,D3,N3,Ṡ","Ṡ,N3,D3,P,M1,G3,R1,S",
kalpanadhAriNi,,13,,,"S,G3,M1,P,D1,Ṡ","Ṡ,N1,D1,P,M1,G3,R1,S",
kaLyANadAyini,,65,,,"S,R2,G3,M2,D2,N3,Ṡ","Ṡ,N3,D2,M2,G3,R2,S",
kaLyAnakesari,,15,,,"S,R1,G3,P,D1,Ṡ","Ṡ,D1,P,G3,R1,S",
kaLyANavasantam,,21,,,"S,G2,M1,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G2,R2,S",
kamalAmanOhari,,27,,,"S,G3,M1,P,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,S",
kamalAptapriya,,51,,,"S,R1,G3,M2,P,D1,Ṡ","Ṡ,D1,P,M2,G3,R1,S",
kamaripriya,,29,,,"S,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,M1,M1,G3,M1,R2,S",
kAmavardhini,51,NULL,Brahma,pantuvarALi,"S,R1,G3,M2,P,D1,N1,S","S,N1,D1,P,M2,G3,R1,S",
kAmbhOji,,28,,,"S,R2,G3,M1,P,D2,Ṡ","S,N2,D2,P,M1,G3,R2,S,N3,P,D2,Ṡ",N3
kanadA,,22,,,"S,R2,G2,M1,D2,N2,Ṡ","Ṡ,N2,P,M1,G2,M1,R2,S",
kanakadri,,10,,,"S,R1,G2,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G2,R1,S",
kanakakusumAvali,,61,,,"S,R2,G3,M2,P,D2,Ṡ","Ṡ,D2,P,M2,G3,R2,S",
kanakAmbari,,1,,,"S,R1,M1,P,D1,Ṡ","Ṡ,N1,D1,P,M1,G1,R1,S",
kanakangi,1,NULL,Indu,,"S,R1,G1,M1,P,D1,N1,S","S,N1,D1,P,M1,G1,R1,S",
kanakasAveri,,8,,,"S,R1,M1,P,D1,Ṡ","Ṡ,N2,D1,P,M1,G2,R1,S",
kanakatODi,,1,,,"S,R1,G1,M1,P,D1,Ṡ","Ṡ,N1,D1,P,M1,R1,S",
kanakavasantam,,20,,,"S,G2,M1,P,N2,D1,Ṡ","Ṡ,N2,D1,P,M1,G2,R2,S",
kananapriya,,63,,,"S,R2,G3,M2,P,M2,D1,N3,Ṡ","Ṡ,D1,N3,P,M2,G3,R2,S",
kanchanabhauli,,43,,,"S,G2,M2,P,D1,Ṡ","Ṡ,N1,D1,P,M1,G2,R1,S",
kanchanAvati,,44,,,"S,R1,G2,M2,P,N2,Ṡ","Ṡ,N2,P,M2,G2,R1,S",
kannaDa,,29,,,"S,R2,G3,M1,P,M1,D2,N3,Ṡ","Ṡ,N3,S,D2,P,M1,G3,M1,G3,M1,R2,S",
kannaDabangAla,,15,,,"S,R1,M1,G3,M1,D1,P,D1,Ṡ","Ṡ,D1,P,M1,G3,R1,S",
kannaDagauLa,,22,,,"S,R2,G2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,S",
kannaDamaruva,,65,,,"S,G3,M2,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M2,G3,S",
kAntAmaNi,61,NULL,Rudra,,"S,R2,G3,M2,P,D3,N3,S","S,N3,D3,P,M2,G3,R2,S",
KApi nArAyaNi,,28,,,"S,R2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
kApi,,22,,,"S,R2,M1,P,N3,Ṡ","Ṡ,N2,D2,N2,P,M1,G2,R2,S","G3,D1,N3"
kApijingala,,22,,,"S,N2,S,R2,G2,M1","M1,G2,R2,S,N2,D2,N2,S",
karmukhAvati,,59,,,"S,R2,G2,M2,D2,N3,Ṡ","Ṡ,N3,D2,M2,G2,R2,S",
karnaranjani,,22,,,"S,R2,G2,M1,G2,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
karNATaka behAg,,28,,,"S,R2,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,N2,P,D2,M1,G3,R2,S",
karNATaka dEvagAndhAri,,22,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
karNATaka kApi,,22,,,"S,R2,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
karNATaka khamAs,,28,,,"S,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,S",
karNATaka sAranga,,15,,,"S,R1,G3,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,R1,S",
karNATaka Suddha sAvEri,,1,,,"S,R1,M1,P,D1,Ṡ","Ṡ,D1,P,M1,R1,S",
karpUra Bharani,,59,,,"S,R2,G2,P,M2,P,D2,Ṡ","Ṡ,D2,P,M2,P,G2,R2,S",
karunAkari,,63,,,"S,M2,P,D1,N3,D1,Ṡ","Ṡ,N3,D1,P,M2,S",
karunAmritavarshini,,39,,,"S,R1,G1,M2,P,D1,N3,P,Ṡ","Ṡ,N3,D1,M2,G1,R1,S",
kAshirAmakriyA,,51,,,"S,G3,R1,G3,M2,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G3,R1,S",
kAtyAyani,,20,,,"S,R2,G2,P,D1,Ṡ","Ṡ,D1,P,G2,R2,S",
kaumAri,,11,,,"S,R1,G2,M1,P,D2,Ṡ","Ṡ,N3,D2,P,M1,G2,R1,S",
kaumoda,,65,,,"S,R2,G3,M2,N3,Ṡ","Ṡ,N3,P,M2,G3,S",
kaumodaki,,22,,,"S,R2,G2,M1,P,D2,N2,Ṡ","Ṡ,D2,P,G2,S",
kaushika,,22,,,"S,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,M1,R2,S",
kedAr {Hindustani},,65,,,"S,*M1(G3)P,D2,N3,Ṡ","Ṡ,N3,D2,P,M2,P,*M1,S,R2,S",M1
kEdAragauLa,,28,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
kedaram,,29,,,"S,M1,G3,M1,P,N3,Ṡ","Ṡ,N3,P,M1,G3,R2,S",
kEsari,,25,,,"S,R2,G3,M1,P,M1,D1,P,D1,Ṡ","Ṡ,D1,N1,D1,P,M1,G2,R2,S",
keSavapriya,,28,,,"S,R2,S,M1,P,D2,N2,Ṡ","Ṡ,N2,S,P,M1,G3,R2,S",
khamAj {Hindustani},,28,,,"S,G3,M1,P,D2,N3,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",N3
khamAs,,28,,,"S,M1,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",N3
kharaharapriya,22,NULL,Veda,,"S,R2,G2,M1,P,D2,N2,S","S,N2,D2,P,M1,G2,R2,S",
kiraNAvaLi,,21,,,"S,R2,G2,M1,P,D1,N3,Ṡ","Ṡ,P,M1,G2,R2,S",
kIravANi,21,NULL,Veda,,"S,R2,G2,M1,P,D1,N3,S","S,N3,D1,P,M1,G2,R2,S",
kOkila,,16,,,"S,R1,G3,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G3,R1,S",
kOkilabhAshani,,29,,,"S,R2,G3,M1,P,D2,N3,Ṡ","Ṡ,N3,P,M1,G3,M1,R2,S",
kOkiladhvani,,28,,,"S,R2,G3,M1,D2,N2,D2,Ṡ","Ṡ,N2,D2,N2,P,M1,G3,R2,S",
kOkilanandi,,56,,,"S,G2,M2,D1,N2,Ṡ","Ṡ,N2,D1,P,M2,G2,S",
kOkilapancamam,,39,,,"S,G1,R1,G1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M2,G1,R1,S",
kOkilapriya,11,NULL,Netra,,"S,R1,G2,M1,P,D2,N3,S","S,N3,D2,P,M1,G2,R1,S",
kOkilAravam,,11,,,"S,R1,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G2,R2,S",
kOkilavarALi,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,M1,P,M1,G3,R2,G3,S",
kolahalam,,29,,,"S,P,M1,G3,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",
koSalam,71,NULL,Aditya,,"S,R3,G3,M2,P,D2,N3,S","S,N3,D2,P,M2,G3,R3,S",
kshaNika,,20,,,"S,G2,M1,P,D1,Ṡ","Ṡ,D1,P,M1,G2,S",
kshEmakari,,57,,,"S,R2,M2,D2,N2,Ṡ","Ṡ,N2,D2,M2,R2,S",
kumbhiNi,,41,,,"S,G1,R1,G1,M2,P,N3,D2,N3,Ṡ","Ṡ,N3,D2,P,M2,G1,R1,S",
kumudhacandrika,,45,,,"S,G2,M2,D1,Ṡ","Ṡ,N3,D1,M2,G2,R1,S",
kumudhakriyA,,51,,,"S,R1,G3,M2,D1,Ṡ","Ṡ,N3,D1,M2,G3,R1,S",
kunjari,,5,,,"S,R1,M1,P,D2,P,Ṡ","Ṡ,N3,D2,P,M1,G1,R1,S",
kuntalam,,61,,,"S,R2,G3,M2,P,D1,Ṡ","Ṡ,N1,D1,P,M2,G3,R2,S",
kuntalaSrIkAnti,,65,,,"S,G3,M2,P,D2,N3,Ṡ","Ṡ,N3,P,M2,G3,R2,S",
kuntalavarALi,,28,,,"S,M1,P,D2,N2,D2,Ṡ","Ṡ,N2,D2,P,M1,S",
