name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
Suddha sAranga,,62,,,"S,G3,M2,P,N2,Ṡ","Ṡ,D1,P,M2,G3,S",
Suddha sAveri,,29,,,"S,R2,M1,P,D2,Ṡ","Ṡ,D2,P,M1,R2,S",
Suddha sImantini,,8,,,"S,R1,G2,M1,P,D1,Ṡ","Ṡ,D1,P,M1,G2,R1,S",
Suddha tODi,,8,,,"S,R1,G2,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,G2,R1,S",
Suddha varALi,,28,,,"S,R2,G3,M1,D2,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G3,S",
Suddha vasanta,,29,,,"S,R2,G3,M1,P,N3,Ṡ","Ṡ,N3,D2,N3,P,M1,G3,S",
Suddha velAvali,,22,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G2,R2,S",
Suddha,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,R2,S",
Suddha,,57,,,"S,R2,G2,M2,P,N3,Ṡ","Ṡ,N3,P,M2,G2,R2,S",
SuddhakriyA,,54,,,"S,R1,M2,M2,P,D3,Ṡ","Ṡ,D3,P,M2,G3,R1,S",
SuddhatarangiNi,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,G3,R2,S",
sudharmiNi,,49,,,"S,R1,M2,P,D1,N1,Ṡ","Ṡ,N1,D1,M1,G3,R2,S",
suguNabhUshaNi,,22,,,"S,G2,M1,P,M1,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,D2,M1,R2,S",
sukhakari,,52,,,"S,R1,S,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M2,G3,S,R1,S",
Sukrajyoti,,26,,,"S,R2,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,P,D1,M1,G3,R2,S",
sukumAri,,20,,,"S,G2,M1,P,N2,D1,N2,Ṡ","Ṡ,N2,P,M1,G2,M1,R2,S",
sumanapriya,,28,,,"S,R2,G3,M1,P,D2,P,Ṡ","Ṡ,D2,S,P,M1,G3,R2,S",
sumanasaranjani,,56,,,"S,G2,M2,P,N2,Ṡ","Ṡ,N2,P,M2,G2,S",
sumukham,,69,,,"S,R3,M2,N3,Ṡ","Ṡ,N3,M2,R3,S",
sunAdapriya,,57,,,"S,R2,G2,M2,P,Ṡ","Ṡ,N3,D1,P,M2,G2,R2,S",
sunAdavinOdini,,65,,,"S,G3,M2,D2,N3,Ṡ","Ṡ,N3,D2,M2,G3,S",
sundaramanOhari,,23,,,"S,R2,M1,P,N3,Ṡ","Ṡ,N3,D2,P,M1,G2,R2,S",
sundarAngi,,54,,,"S,R1,G3,P,D3,N3,Ṡ","Ṡ,N3,D3,P,G3,R1,S",
supOshiNi,,28,,,"S,R2,S,M1,P,N2,D2,Ṡ","Ṡ,D2,P,M1,R2,M1,S",
supradIpam,,17,,,"S,R1,M1,P,D2,N3,Ṡ","Ṡ,N3,D2,P,M1,G3,M1,R1,S",
suranandini,,29,,,"S,R2,G3,P,D2,N3,Ṡ","Ṡ,N3,D2,P,G3,R2,S",
suraranjani,,29,,,"S,G3,P,R2,M1,D2,Ṡ","Ṡ,N3,D2,P,M1,G3,R2,S",
surasena,,27,,,"S,R2,M1,P,D1,Ṡ","Ṡ,N3,D1,P,M1,G3,S,R2,S",
surasindhu,,15,,,"S,M1,G3,M1,P,D1,N3,D1,Ṡ","Ṡ,N3,D1,P,M1,R1,G3,R1,S",
suraTi,,28,,,"S,R2,M1,P,N2,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G3,P,M1,R2,S",
sUrya,,14,,,"S,G3,M1,D1,N2,Ṡ","Ṡ,N2,D1,M1,G3,S",
sUryakAntam,17,NULL,Agni,,"S,R1,G3,M1,P,D2,N3,S","S,N3,D2,P,M1,G3,R1,S",
sUryavasantam,,35,,,"S,M1,G3,M1,D2,N3,Ṡ","Ṡ,N3,D2,M1,G3,R3,S",
sushama,,20,,,"S,R2,M1,P,D1,Ṡ","Ṡ,D1,P,M1,R2,S",
sUtradhAri,,20,,,"S,R2,M1,P,D1,S","S,D1,P,M1,R2,S",
suvarnadIpakam,,43,,,"S,R1,G2,M2,P,D1,Ṡ","Ṡ,D1,P,M2,G2,R1,S",
suvarnakriyA,,28,,,"S,R2,G3,P,N2,D2,Ṡ","Ṡ,N2,P,G3,R2,S",
suvarnangi,47,NULL,Vasu,,"S,R1,G2,M2,P,D1,N3,S","S,N3,D1,P,M2,G2,R1,S",
svadhya,,2,,,"S,R1,M1,P,N2,Ṡ","Ṡ,N2,D1,P,M1,R1,S",
svarabhUshaNi,,22,,,"S,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,R2,S",
svarakalAnidhi,,22,,,"S,M1,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,N2,P,M1,G2,R2,S",
